timestamp,code,date,close,atr,iv,poc,adv20,buy_price,stop_loss,target_price,risk_reward,risk_reward_after_slippage,decision,action,suggested_shares,circuit_breaker
2026-03-18 10:06:04,000876,2026-03-18 01:50:42,8.71,0.15,,8.74,32547433.0,8.65,8.68,9.0,,71.4,HOLD_WITH_POSITION,持仓观望,66600,False
2026-03-18 10:06:08,600276,2026-03-18 01:50:48,56.52,1.39,,57.22,42235234.0,55.63,56.49,59.49,,,HOLD_WITH_POSITION,持仓观望,66600,False
2026-03-18 10:14:19,601012,2026-03-18 01:58:55,18.76,0.6,,18.94,174679136.0,18.43,18.25,19.43,5.6,3.8,HOLD_WITH_POSITION,持仓观望,3900,False
2026-03-18 10:14:25,000876,2026-03-18 01:59:03,8.68,0.15,,8.74,32685248.0,8.65,8.67,9.0,,22.7,HOLD_WITH_POSITION,持仓观望,199900,False
2026-03-18 10:14:29,600276,2026-03-18 01:59:06,56.31,1.39,,57.22,42352446.0,55.63,56.49,59.49,,,SELL,清仓,0,False
2026-03-18 10:49:41,NVDA,2026-03-17 20:00:00,181.93,5.82,0.387,188.32,196174546.0,175.56,183.07,194.29,,,SELL,清仓,0,False
2026-03-18 10:52:19,601012,2026-03-18 02:37:10,18.45,0.61,,18.94,177210512.0,18.43,18.22,19.43,4.8,3.4,HOLD_WITH_POSITION,持仓观望,8600,False
2026-03-18 10:52:37,NVDA,2026-03-17 20:00:00,181.93,5.82,0.387,188.32,196174546.0,175.56,183.07,194.29,,,SELL,清仓,0,False
2026-03-18 10:53:46,601012,2026-03-18 02:38:22,18.44,0.61,,18.94,177264758.0,18.43,18.22,19.43,4.8,3.4,HOLD_WITH_POSITION,持仓观望,9000,False
2026-03-18 10:53:54,000876,2026-03-18 02:38:30,8.7,0.15,,8.74,32973868.0,8.65,8.67,9.0,,22.7,HOLD_WITH_POSITION,持仓观望,66600,False
2026-03-18 10:54:38,600276,2026-03-18 02:39:27,56.61,1.39,,57.22,42623531.0,55.63,56.48,59.49,,,HOLD_WITH_POSITION,持仓观望,15300,False
2026-03-18 10:55:34,NVDA,2026-03-17 20:00:00,181.93,5.82,0.387,188.32,196174546.0,175.56,183.07,194.29,,,SELL,清仓,0,False
2026-03-18 10:55:42,TSLA,2026-03-17 20:00:00,399.27,12.92,0.3993,400.52,58186282.0,385.39,388.03,416.81,,,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 10:56:00,QQQ,2026-03-17 20:00:01,603.31,9.78,0.2169,603.77,69397184.0,591.87,592.39,615.59,,12.2,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 10:57:52,0700.HK,2026-03-18 02:41:51,546.5,17.36,,556.22,26653359.0,533.0,534.6,566.0,,59.7,SELL,清仓,100,False
2026-03-18 10:57:59,1810.HK,2026-03-18 02:42:00,34.84,1.24,,33.23,150381078.0,34.6,34.15,36.76,4.8,3.6,HOLD_WITH_POSITION,持仓观望,2800,False
2026-03-18 10:58:09,TSLA,2026-03-17 20:00:00,399.27,12.92,0.3993,400.52,58186282.0,385.39,388.03,416.81,,,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 10:58:16,NVDA,2026-03-17 20:00:00,181.93,5.82,0.387,188.32,196174546.0,175.56,183.07,194.29,,,SELL,清仓,0,False
2026-03-18 10:58:24,QQQ,2026-03-17 20:00:01,603.31,9.78,0.2169,603.77,69397184.0,591.87,592.39,615.59,,12.2,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 12:42:39,NVDA,2026-03-17 20:00:00,181.93,12.35,0.387,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 12:47:48,NVDA,2026-03-17 20:00:00,181.93,12.35,,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 12:49:01,NVDA,2026-03-17 20:00:00,181.93,12.35,,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 12:49:19,NVDA,2026-03-17 20:00:00,181.93,12.35,0.387,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 12:49:38,NVDA,2026-03-17 20:00:00,181.93,12.35,0.387,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 14:04:09,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
